Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins
C1,1,1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,
"C2, C3, C4",3,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,
C5,1,10uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,
"C6, C7",2,22pF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D9",87,D_Small,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,,,smt,"Diode, small symbol",D,1=K 2=A
F1,1,500mA,Fuse_Bourns_MF-RG500,,,,tht,"Resettable fuse, polymeric positive temperature coefficient, small symbol",,
J1,1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt,USB 2.0-only 14P Type-C Receptacle connector,,
"R1, R4",2,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Resistor, small symbol",,
"R2, R3",2,22,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Resistor, small symbol",,
R5,1,1M,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Resistor, small symbol",,
"R6, R7",2,5.11k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,"Resistor, small symbol",,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW9",87,SW_Push_45deg,SW_Hybrid_Cherry_MX_Alps,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,
SWRST1,1,SW_PUSH,SW_Push_1P1T_NO_CK_KMR2,,,,smt,,,
U1,1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,,,,smt,"16MHz, 32kB Flash, 2.5kB SRAM, 1kB EEPROM, USB 2.0, TQFP-44",,
Y1,1,16MHz,Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering,,,,smt,"Four pin crystal, GND on pins 2 and 4, small symbol",,
